Especie|Nombres vernáculo|Familia|Distribución|Descripción de la especie|Fenología|Usos 
Hyeronima alchorneoides | Pilón. | Phyllanthaceae  | Se encuentra en el Pacífico central y  sur, así como en la zona norte y Caribe. Esta especie  es un árbol emergente, abundante en bosques  tropicales húmedos y muy húmedos, cuya  precipitación lluviosa anual, alcanza 3500 -5000 mm y  una temperatura de 24 -32º C. Crece muy bien en  planicies muy húmedas o pantanosas durante época  seca lluvio sa, cuyo suelo es aluvional o franco  arcilloso y ácido. El ámbito altitudinal de la especie  oscila entre 0 -900 m.s.n.m.   |  Árbol que alcanza 40m de alto y 175 cm de dap. Tiene  fuste recto y gambas ramificadas, la copa es amplia. La  corteza es de color gris  claro en espacios abiertos y rojiza en el bosque, la savia es incolora. Las hojas  son simples, alternas, cartáceas, pubescentes y suele esta habitadas por  hormigas. Las flores son de color verde amarillento y el fruto es drupa pequeña de  color verde, al madurar se pone roja. | Sin datos.  |  Se utiliza en construcción pesada.
Hampea appendiculata (Donn. Sm.) Standl   | Algodoncillo, Buriogre, Burío Blanco   | Malvaceae   |  Bosque húmedo, muy  húmedo y pluvial; De Honduras a  Panamá. En Costa Rica, 0 -1800 m;  Ambas vertientes de las Cordilleras de  Guanacaste y Tilarán; Vertiente Caribe,  Cordillera Central, Llanuras de Los Gustusos, San Carlos y Tortuguero, Baja  Talamanca; Verti ente Pacífica, Cordillera de Talamanca, Valle Central, Península  de Osa.   | Arbusto o árbol, de 3.5 -20 m. Hojas simples, alternas  de 7-24 x 4 -16 cm, láminas ovadas, u ovado -oblongas. Flores con pedúnculos de  1-2 cm; cáliz con lóbulo s de ca. 0.4 cm, o completamente truncado y de ca. 0.6  cm; pétalos de ca. 1 cm, cremas o amarillentos, los frutos son Cápsulas de 1.5 -3  cm, elipsoidales, subesfericas u ovoides. Hojas simples, con 3 -5 venas en la base,  éstas con nectarios prominentes por e l envés; flores unisexuales, caliculadas, los  pétalos blancos y reflexos; frutos capsulares; semillas ariladas.   |  Flores observadas de Marzo a Setiembre. Frutos observados de Enero  a Abril y de Setiembre a Diciembre  (Florula, La selva. 2012).  | Es hospedera de las larvas de Hylesia invidiosa. Las flores de las especies de Hampea, son visitadas por el ave Klais guimeti (colibrí cabeciazul). Los frutos se reportan como parte de la dieta del ave Selenidera spectabilis (tucancillo orejiamarillo)
Hippotis panamensis (Dwayer) C. M. Taylor   | Sin datos. | Rubiaceae   | Restringida de Nicaragua a Colombia, en Costa Rica se encuentra en bosque muy húmedo, 0–500+ m; vertiente Caribe de las Cordilleras Central y de Talamanca, Llanuras de San Carlos y de Tortuguero.   | Árbol, hasta de 10 m, Hojas de 12 –35 × 5.5 –18 cm,  elípticas a obovadas, ápice acuminado, base cuneada, papiráceas a coriáceas al  secarse; con 7 –10 pares de venas secundarias; pecíolos de 1 –3.5 cm.  Inflorescencias con 1( –3) flores; pedúnculos de 1 –10 mm; brá cteas ovadas, de 3 – 5 mm. Flores sésiles; limbo del cáliz densamente piloso, de 25 –35 mm,  abriendose por un lado o irregularmente 2( –3)-labiado; corola infundibuliforme,  blanca, densamente serícea externamente, internamente glabrescente, tubo de  40–45 mm, a  veces curvado, lóbulos 5, triangulares a elípticos, de 5 –6 mm,  obtusos. Los frutos son Bayas de 3 –4 × 1 –3 cm; semillas de ca. 2 mm, foveoladas.  Hippotis se reconoce se hábito leñoso, hojas opuestas con la venación terciaria  lineolada, estípulas caducas y retorcidas en la yema y por las flores solitarias con  el cáliz espatáceo   |  Flores recolectadas en Febrero, Abril, Julio, Agosto, y Octubre, frutos  en Mayo, Junio, y Agosto. | Sin datos.
Hymenaea courbaril   L.  | Guapinol.   | Fabaceae Caesalpinaceae   |  Vertiente del Pacífico,  desde la parte noroeste de las  provincias de Guanacaste y  Puntarenas, Valle Central hasta la  frontera con Panamá, prefiriendo  sitios con una estación seca larga.  Elevac ión entre 0 -1200 m.   |  Árbol hasta de 30 m de altura. Hojas bifolioladas,  alternas, folíolos opuestos, sésiles, de 4 a 9 cm de largo, lanceolado -oblongos a  oblongo -ovados, asimétricos, con abundantes puntos translúcidos a simple vis ta.  Inflorescencias panículas terminales, de hasta 12 cm de largo. Flores blancas,  aromáticas. Frutos legumbres, de 5 a 15 cm de largo, ampliamente oblongos,  indehiscentes, leñosos, superficie externa lenticelada, con la pulpa comestible.   |  Flores  observadas de marzo a mayo. Frutos observados de octubre a  febrero y también en julio.   |  Un kilogramo de semillas contiene 250 unidades, 30 % de poder  germinativo, la germinación se puede acelerar sumergiendo las semillas en agua  hirviendo y luego en ácido sulfúrico. Es posible almacenarla durante un año a 21º  C. Medicinalmente se ha usado en casos de asma, beriberi, blenorragia,  bronquitis, catarros, cistitis, diarrea, dispepsia, fracturas, indigestión, laringitis,   malaria, reumatismo, úlceras, enferm edades venéreas, dolores de cabeza, artritis,  magulladuras, espasmos, como expectorante, licor, purgativo, sedativo, tónico  estomacal, vermífugo y antiséptico.
Hernandia didymantha Donn. Sm.   | Zoncho.  Laurel mastate     | Hernandiaceae   |  Cordillera de Tilarán,   Vertiente del Pacífico, Zona norte y  Caribe , Valle Central hasta la frontera  con Panamá, prefiriendo sitios con  una estación seca larga. Elevac ión  entre 0 -1000 m.   |  Árbol, 10 - 40 m de alto , corteza interna blanca; ramitas estriadas; estípulas ausentes . Hojas  9-23 × 4 -18 cm, simples, alternas, ovadas a ancho -ovadas, ápice abrupto - acuminado, base redondeada o subcordada, gla bras; pecíolos 5 -18 cm de largo.  Inflorescencias panículas 12 -30 cm de largo. Flores verdosas, salen en grupitos de  3 en la panícula. Fruto, drupa, de alrededor de 2 cm de diámetro, incluida por  completo en una cúpula de hasta 2.8 x 2.8 cm. Se caracteriza por sus hojas  elíptico -oblongas, con los nervios secundarios basales no ramificados y frutos  envuelto s completamente por una cúpula coriácea y adeherida al mismo.7 | Florece y fructifica de mayo a septiembre.    | Para hacer cajones, cajas embalajes, carpintería. Las flores son visitadas por abejas, avispas y mariposas.
Inga sp   | Guaba.   |  Fabaceae   | Se distribuye naturalmente de México hasta América del Sur. En  Costa Rica se encuentra en la Cordillera Volcánica Central, el Pacífico norte,  central y sur, la zona Norte y la zona del Caribe. El ámbito de elevación varía de 0 - 1200 m.s.n.m; es abundante en bosques primarios, secundarios.   | Árbol que alcanza hasta 10 m de alto, las hojas son  compuestas, alternas con estípula. Las flores son de color blanco y se presentan  en las axilas de las hojas o hacia el final de las ramas. Los frutos son unas legumbres que alcanzan hasta 15 cm de largo, con semillas negras envueltas en  una pulpa blanca de sabor dulce.   | La floración se da entre los meses de Agosto a septiembre y los frutos  entre octubre y diciembre. | Fruto comestible
Inga oerstediana Benth. ex Seem.   | Cuajiniquil   | Fabaceae   |  Bosque húmedo, muy húmedo y pluvial. De México a Bolivia, Brasil, Colombia, Ecuador, Perú y Venezuela. En Costa Rica, bosque  húmedo, muy húmedo y pluvial, 0 -2050 m; Ambas vertientes de las Cordilleras  Central, de Talamanca y Tilarán; Vertiente Caribe, Cordillera de Guanacaste,  Llanuras de los Guatusos, San Carlos y Tortuguero, Baja Talamanca; Vertiente  Pacífica, Valles Central y de Coto Brus, Pacífico Central, Península de Osa.   | Árbol, de 6 -18 m, Tronco con ramitas densamente  ferrugíneo -tomentosas; estípulas de hasta 3 mm, decíduas. Hojas paripinnadas,  alternas, con 3 -4 pares de folíolos, oblongos a obovados, ápice obtuso a  redondeado o cortamente acuminado, densamente ferrugíneo -pubescentes por el  envés, el par basal de 4 -13 x 3 -8 cm, el par distal de 8 -22 x 7 -12 cm, el raquis  ampliamente alado, glándulas in terfoliolares sésiles, transversalemente oblongas,  los pecíolos alados o ampliamente alados (rara vez cilíndricos). Flores blancas,  sésiles; cáliz de 3 -6 mm; corola de 9 -15 mm. Inflorescencias espigas, los  pedúnculos de 1 -9 cm, ferrugíneo -pubescentes, el r aquis floral de 1 -4 cm. Frutos  de (12 -)20-24 x 1 -1.5 cm, cilíndricos, ferrugíneo -pubescentes. Se caracteriza por  sus hojas generalmente con 3 pares de folíolos, éstos ampliamente obovados, con  los raquis alados, con las alas anchas y las glándulas de los r aquis muy distintivas  por su forma oblongo -tranversal. Estas características permiten diferenciarla de su  especie más afín  I. edulis, además ésta última especie tiene flores y frutos de  mayor tamaño.   |  Flores observadas de Enero a Noviembre. Fruto s observados de Enero a Marzo y de Junio a Noviembre  (Florula, La selva. 2012). | Se usa en sombra para cultivos como cacao y café. Apoya la dieta de poblaciones de avifauna silvestre, contribuye a la protección y recuperación de suelos. El arilo de las semillas es comestible. Es hospedera de la larva de Podalia orsilocha y Isanthrene echemon.
Inga spectabilis (Vahl) Willd.   | Guabo Real, Guabo de Castilla, Guabo de Machete   | Fabaceae   |  Bosque húmedo, muy húmedo y pluvial. De México a Brasil, Colombia, Ecuador, Perú y Venezuela.  En Costa Rica, bosque húmedo, muy húmedo y pluvial, 0 -1800 m; Vertiente  Caribe, Cordillera Central, Llanuras de los Guatusos, San Carlos y Tortuguero;  Vertiente Pacífi ca, Cordillera de Talamanca, Valles Central y del General, Pacífico  Central, Península de Osa.   | Árbol, de 5 -15 m. Tronco con ramitas conspicuamente  anguladas o cuadrangulares, pálidas; estípulas de 6 -9 x 4 mm, subpersistentes.  Hojas paripinnadas, alternas, con 2 pares de folíolos, elípticos a obovados, ápice  redondeado a mucronado, glabros, el par distal de 19 -30 x 8 -18 cm, el par basal  de 10 -16 x 5 -9 cm, el raquis alado, glándulas interfoliolares sésiles y cupuliformes,  los pecíol os cilíndricos o alados. Flores verdoso -amarillentas, sesiles; cáliz de 8 -9  mm; corola de 18 -24 mm. Inflorescencias espigas, los pedúnculos angulados, de  3-8 cm, raquis floral de 1 -5 cm. Frutos de 25 -70 x 4 -5.5 cm, aplanados, rectos o  curvos, glabros, leño sos, con márgenes de hasta 1.2 cm de grueso. Se reconoce  por sus ramas anguladas; hojas con 2 pares de folíolos, con numerosos nervios  secundarios paralelos; flores grandes amarillentas; y frutos en forma de machete .  |  Flores observadas de Enero a  Agosto y en Noviembre. Frutos de Enero  a Julio y en Noviembre y Diciembre.   |  Normalmente plantado por sus frutos, los cuales se comercializan  en mercados locales, por sus arilos jugosas y dulces  (Florula, La selva. 2012).
Inga jinicuil Schltdl. & Cham ex G. Don    | Guaba   |  Fabaceae   |  Bosque húmedo, muy húmedo y pluvial.  De  México a Costa Rica y Ecuador.  En Costa Rica, bosque húmedo, mu y húmedo y pluvial, 0 -1400 m; Vertiente  Caribe, Cordillera Central, Llanuras de San Carlos y Tortuguero; Vertiente  Pacífica, Cordilleras de Talamanca y Tilarán, Valles Central y de Coto Brus,  Pacífico Central, Península de Osa   | Árbol, de 8 -15 m, Tronco con ramitas glabras y  lenticeladas; estípulas de 1 -2 x 0.5 -0.9 cm, persistentes o decíduas. Hojas  paripinnadas, alternas, con (3 -)4(-5) pares de folíolos, obovados a lanceolados,  ápice agudo a largamente acumina¬do, glabros, el par d istal de 7 -18 x 3 -7 cm, el  par basal de 6 -10 x 3 -4 cm, el raquis cilíndrico, glándulas interfoliolares sésiles, los  pecíolos cilíndricos. Flores blancas, sésiles o pedice¬ladas; cáliz de 1.5 -2 mm;  corola de 4 -6.5 mm. Inflorescencias capítulos, los pedúncul os de 2 -10 cm, el  raquis floral globoso, de 2 -3 cm de diámetro y Frutos de 14 -40 x 6 -7 cm,  aplanados, glabros y estriados transversalmente. Se reconoce por sus hojas con 3  pares de folíolos glabros y finamente reticulados, con el raquis áptero, las  estípul as grandes, foliáceas y por lo general persistentes; y por sus flores  dispuestas en capítulos y cortamente pediceladas.   |  Flores observadas de Noviembre a Abril. Frutos observados de Enero  a Junio .  |  Las semillas contienen hasta 17% d e proteínas, sus arilos son  carnosos, comestibles y se acostumbra comerlos crudos, o cocidos en sopas   (Florula, La selva. 2012).
Jacaranda copaia (Aubl.) D. Don   | Buho, Gallinazo   | Bignoniac eae  |  Bosque húmedo, muy  húmedo y de transición a seco. De  Guatemala a Bolivia, Brasil, Colombia,  Ecuador, Perú, Surinam y Venezuela.  En Costa Rica, bosque húmedo, muy  húmedo y de transición a seco, 0 -1000  m; Vertiente Caribe, Cordilleras Centr al  y de Guanacaste, Llanuras de los  Guatusos y San Carlos; Vertiente  Pacífica, Cordillera de Tilarán, Valle del  Térraba, Pacífico Central, Península de  Osa.   | Árbol, de hasta 45 m. Hojas de 15 -165 cm, con 5 -20  pares de pinnas, cada  pinna de 5 -35 cm, las pinnas con 5 -25 folíolos, éstos de  1.5-8 x 0.8 -2.5 cm, asimétricamente rómbico -elípticos. Flores: cálices de 0.5 -0.7 x  0.3-0.5 cm, cupuliformes, ± truncados e irregularmente 5 -dentados; corolas de 3.5 - 5 x 0.8 -1.9 cm, tubular -campanul adas, marrones, con líneas longitudinales verdes  en el exterior; estambres filamentos cortos de 4.3 -4.5 cm, filamentos largos de 4.9 - 5.1 cm, las tecas de 7 -9 mm; estaminodio de 2.4 -2.7 cm; pistilo: estilo de 6 -6.5 cm,  el ovario de 10 -11 x 3 mm, cilíndrico.  Los frutos son Cápsulas de 6.2 -12.7 x 3.3 -6  cm, oblongo -comprimidas con Semillas de 1 -2 x 1.7 -2.8 cm, aladas. Árboles  silvestres, con la corteza externa blanquecina o cremosa; hojas bipinnadas,  opuestas, con los folíolos conspicuamente asimétricos; inflor escencias terminales,  paniculadas; flores con las corolas púrpura -azuladas; cápsulas leñosas, lisas,  oblongo -comprimidas con las semillas aladas.   |  Flores observadas en Marzo y Abril. Frutos observados en Junio.   |  En Las Guayanas queman los tallos de la planta en la estación  seca, para repeler insectos. La decocción de la corteza la emplean como purgante  y contra la diarrea; ésta pulverizada es administrada para tratar la sífilis. Los  cataplasmas de las hojas los usan para tratar las ú lceras causadas por  Leishmaniasis (papalomoyo) y las tiñas de la piel; la infusión de éstas la  consideran antipirética y el jugo de las hojas jóvenes, es aplicado como vulnerario  en úlceras recalcitrantes. El nombre del epíteto tiene su origen en el nombre   vernáculo del árbol en La Guayana Francesa  (Florula, La selva. 2012).
Lozania pittieri (S. F. Blake) L. B. Sm     | Sin datos.   | Lacistemataceae   |  Crece en suelo semi -aluvional. Nicaragua hasta Colombia y Venezuela. En Costa Rica amplia  en climas muy húmedos de la vertiente caribe y la parte central hasta el suroeste de la vertiente pacífica, 0 -750 ( -1000) m.   | Árbol o arbusto, 3 -10 m de alto.  Hojas simples,  alternas, 3 -17 × 1 -6 cm, elípticas, elíptico -oblongas u oblanceoladas, ápice largo  acuminado, base atenuada, glabras, el margen subentero, crenado o aserrado.  Inflorescencias racemosas, solitar ias o 2 -3 por axila, 4 -14 cm de largo. Flores  amarillentas o blanco -verdosas; sépalos 4, muy pequeños; pétalos ausentes;  estambres 1. Fruto cápsula, 3 -4 mm de largo, globosa, anaranjada cuando  madura. Semillas 1 ( -3), lisas, con un arilo rojo hasta anaranj ado. Se caracteriza  por sus hojas dísticas, con el margen finamente aserrado, la lámina relativamente  delgada y una venación terciaria fina escalariforme. Cuando en floración se dingue  por su inflorescencia delagada y pendula.   | Flores y frutos ob servados al final de agosto  (Florula, La selva. 2012).  | Sin datos.
Luehea seemannii Triana & Planch | Caulote, cotonron, guácimo, guácimo colorado, guácimo de montaña, guácimo macho, guácimo molinero, guacimón, guacimón llayo, molinillo, tapasquit, yayo | Malvaceae   |  Belice hasta Colombia y  Venezuela. En Costa Rica amplia,  principalmente en elevaciones bajas con climas secos, húmedos a muy húmedos,  0-800 m. En LS a lo largo de los ríos   | Árbol, 15 -30 m de alto, Tronco acanalado , con corteza  escamosa, grisáce a o rojiza.  Hojas simples, alternas, 7.6 -24 x 3 -12.5 cm,  oblongo -elípticas a oblongo -obovadas, ápice acuminado, base obtusa a  subcordada o redondeada, a veces asimétrica, margen aserrado distalmente,  bicoloreadas, el envés dorado con pelos estrellados, ne rvios basales 5 -7 pares;  pecíolos 0.5 -1.4 cm de largo. Inflorescencia paniculas terminales, con muchas  flores. Flores blancas a amarillentas; sépalos 5, 7 -15 x 2 -4 mm; pétalos 5, 6.5 -11 x  2-4 mm, espatulados; estambres numerosos, 6 -10 mm de largo. Fruto cá psula,  1.6-3.0 x 0.7 -1.5 cm, elíptica, con 5 -ángulos y sulcada, dehiscencia apical 2/3 de la  longitud. Semillas numerosas, aladas en un lado. Se reconoce fácilmente por la  coloración dorada o color ochre en el envés de sus hojas. Así como por su  condición de árbol generalmente ripario. |  Sin datos. |  Guácimo colorado, Guácimo macho, Guacimón (La planta es  hospedera del lepidóptero Adelpha boeotia boeotia. Las cenizas de la madera se  usan para cocinar maíz. De la corteza del tronco se extraen fibras muy fuertes,  que se emplean para hacer amarras. Los brotes jovenes macerados, segregan un  mucílago que se usa como aglutinante de impurezas, en el proceso de producción  de azúcar y dulce)  (Florula, La selva. 2012).
Lecythis ampla Miers   | Olla de Mono, Cachimbo, Jicaro, Papayón, Cocobolo   | Lecythidaceae   |  Nicaragua hasta el  valle del Magdalena en Colombia y el norte de Ecuador. En Costa Rica conocida solo de la vertiente caribe, en la zona  norte o septentrional, 100 -300 m.   | Arboles, gigantes, 30 –45 m de alto, Tronco por lo  general con gambas bien desarrollados, corteza externa con numerosas y  profundas fisuras longitudinales; savia de color crema, la del duramen roja ;  estípulas ausentes. Corteza externa con numerosas y profundas fisuras  longitudinales. Hojas simples, alternas, dísticas, 6 –12 ( –17) x 2 –5 (–8) cm,  angostas a elípticas, ápice acuminado, base obtusa o raramente, glabras, margen  crenado, con 10 –15 pares de  nervios laterales; pecíolos 5 –10 mm de largo.  Inflorescencias racemosas, hasta 12 cm de largo. Flores rosadas o morado - pálidas, 3 cm de diámetro; cáliz 6 -lobados, 5 –7 x 3 –5.5 mm; pétalos 6, 1.5 –1.8 x  1.0–1.2 cm, ampliamente elípticos, apéndice estaminal p lano, 13 –15 mm x 14 –20  mm, rosado, anillo estaminal con 127 –170 ( –225) estambres; ovario (3 –) 4-locular,  con 4 –10 óvulos en cada lóculo. Frutos dehiscentes, 10 –25 x 10 –22 cm, muy  grandes y leñosos, globosos a oblongos, pericarpo de 15 –30 mm de grueso;  semi llas no insertadas en una pulpa, fusiformes, hasta 9 x 3 cm, con 9 –10-surcos  longitudinales, con un arilo basal, grande y carnoso. Se reconoce bien por sus  hojas pequeñas, verde oscuro, con el margen conspicuamente crenado -aserrado y  la lámina debilmente d ecurrente sobre el pecíolo. Las ramitas a menudo afiladas o  anguladas.   |  Flores observadas en junio.  |  Es considerada una especie rara o con poblaciones muy  reducidas, producto de la fuerte explotación. A veces es frecuente observar  individuos adultos pero en edades inferiores o plántulas es bastante raro  (Florula,  La selva. 2012).
Lonchocarpus oliganthus F. J. Herm.   | Chaperno  | Fabaceae   |  De México a Panamá. En Costa Rica, bosque húmedo, muy húmedo y pluvial, 0-1900 m; Ambas vertientes de las Cordilleras de Guanacaste y Tilarán; Vertiente Caribe, Cordillera Central, Llanuras de los Guatusos, San Carlos y Tortuguero; Vertiente Pacífica, Pacífico Central.   | Arboles, 4–20 m de alto, la corteza sin fluido resinoso al corte; ramas jóvenes moderadamente canescente -seríceas, pronto glabras. Folíolos 5 –7, elípticos u ovados a obova dos, ápice acuminado a caudado,  haz opaca, posteriormente glabrescentes, cartáceos a subcoriáceos, el nervio  principal y los secundarios prominentes en el envés; estípulas caducas; corola  purpúrea a violeta obscura,. Legumbres oblongas en el ápice, estipit adas a  largamente atenuadas en la base, lateralmente comprimidas, contraídas entre las  semillas sobre las suturas, membranosas a coriáceas, indehiscentes,; semillas 1 ó  2 (3), 7 –8.3 mm de largo, café obscuras  (Florula, La selva. 2012). | Flores observadas todo el año. Frutos observados de Junio a Enero. | Sin datos.
Lecointea amazónica Ducke   | Costilla Danto   | Papilonaceae   |  Es una especie de climas  muy húmedos. Ampliamente distribuida en  la Zona Norte, Vertiente Atlántica y parte  suroeste de la Vertiente del Pa cífico.  Elevación entre 0 -1000 m.   |  Árbol de 20 a 40 m de altura. Hojas simples, alternas,  elípticas de 5 a 18 cm de alto por 1.5 a 9 cm de ancho, abrupto -acuminadas, con  el margen distalmente aserrado o crenado, glabras. Infloresc encias en racimos de  1 a 5 por axila de 3 a 8 cm de  largo. Flores blancas de 4 a 6 mm de largo. Frutos  subglobosos de 3 a 5 cm de diámetro, drupáceo, algo aplanado lateralmente,  amarillo cuando maduro. Una semilla de 2.5 cm de largo. El tronco es  conspícua mente acanalado, semejante a algunas de las especies  de Aspidosperma, familia Apocynaceae. Vegetativamente imposible pensar que se  trata de una Leguminosa, por lo contrario, se podría pensar más bien en una  Flacourtiaceae, debido a su borde aserrado y apar iencia general.   |  Flores observadas entre abril y junio. Frutos en enero, marzo y setiembre.   |  En Honduras utilizan los aletones del tronco para sacar piezas  para cabos de hacha. Además hemos observado que los troncos de árboles más o  menos jóvenes son utilizados para horcones en ranchos rústicos; también de los  troncos gruesos se sacan discos o "galletas" para ornamentar corredores o  paredes.
Minquartia guianensis  Aubl   | Cuajada Negra, Manú Negro, Manú, Palo de Piedra.   | Olacaceae   |  Bosque húmedo y  muy húmedo, De Nicaragua a  Bolivia, Ecuador, Perú y  Venezuela. En Costa Rica, 0 -700  m; Vertiente Caribe, Cordilleras  Central y de Talamanca, Llanuras de San Carlos y Tortuguero; Vertiente Pacífica,  Pacífico Central, Península de Osa.   | Árbol de 9 -35(-40) m. Hojas simples, alternas, de  9-28 x  4-9 cm, elíptico -oblongas, lanceoladas u oblanceoladas, márgenes enteros,  finamente revolutos. Se reconoce por sus hojas con los nervios secundarios  paralelos y bastante rectos, los terciarios escaleriformes; flores dispuestas en  espigas o racimos espiciformes, frutos maduros negros o morados sin el cáliz  acrescente.  Inflorescencias de 3 -8 cm, espigadas. Flores con el cáliz cupulado, 5 - dentado, los dientes de ca. 0.1 cm. Corola campanulada, el tubo de ca. 0.2 cm.  Drupas de 1.5 -3 cm, elipsoidales .  |  Flores observadas en Enero, Abril, Junio, Octubre y Noviembre. Frutos observados de Enero a Junio y de Octubre a Noviembre .  |  Los frutos son comestibles para humanos, aunque su látex causa  una sensación desagradable al paladar. En la  Amazonía ecuatoriana trituran con  piedras trozos de corteza y ramitas, que luego remojan en agua junto con hojas de  tabaco (Nicotiana tabacum); el líquido resultante lo administran contra la  tuberculosis. También la decocción de la corteza la usan en pequ eñas dosis para  eliminar parásitos intestinales. Del serrín hervido se obtiene un colorante negro  que usan para teñir tejidos de algodón. En otras regiones la corteza remojada en  agua se usa como piscicida  (Florula, La selva. 2012).
Nephelium lappaceum    | Mamon chino    | Sapindaceae   |  Es una fruta exótica  proveniente de Malasia y cultivada  también enTailandia,  Ecuador,  Costa  Rica,  Indonesia  y Austr alia. Se le  conoce por diferentes nombres:  Litchi  peludo, rambután,nefelio, entre otros.   | Es un árbol perenne que alcanza de 10 a 20 metros de  altura. Las hojas son alternas y pinnadas, con márgenes enteros.   Las flores son  pequeñ as, entre 2 a 2,5 milímetros, sin pétalos, naciendo en una panícula terminal  de 15 -30 cm de longitud.   El fruto es una drupa oval.   Los mismos nacen en racimos, entre 10 a 20 juntos.   La piel es rojiza (raramente amarilla o naranja) y está cubierto por espi nas  suaves. Su nombre proviene de la palabra malaya  rambut  que significa cabello.   Es un fruto de aspecto extraño, que está catalogado por los expertos de la  gastronomía dentro de los siete frutos más finos y deliciosos del mundo. Cuando  maduro puede ser de  color amarillo o rojo intenso. Tiene una combinación perfecta  entre lo ácido y lo dulce.   |  Se da entre los meses de julio a noviembre. De la siembra a la cosecha  hay que esperar tres años.  El rendimiento de los árboles es de 1000 a 5000  frutos/ár bol. De un solo árbol se pueden obtener hasta 400 cajas de frutas y de  una hectárea cultivada se cosechan hasta cuatro mil cajas.   | Muy conocido en la cocina oriental. Esta fruta se puede comer quitando la piel o  bien se utiliza como ingredi ente en ensaladas, zumos, batidos, pasteles y otros  postres dulces. La grasa de la semilla cuando se calienta, se convierte en un  aceite de color amarillo con un olor aceptable, este podría ser usado para producir  jabón y velas si estuviera disponible en m ayor cantidad.   En Malasia la raíz se utiliza para bajar la fiebre. Las hojas se utilizan para hacer té  y calmar dolores de la garganta.  El fruto es astringente y  se puede tomar para aliviar la diarrea. En algunos países la cáscara de la fruta seca se vend e en  farmacias y es empleada en la medicina local .
Nectandra sp  | Quizarrá,  Aguacatillo.    | Lauraceae.   |  Hay muchas especies en  el territorit o nacional. La  mayoría tiene  una distribución amplia.   |  Árboles usualmente medianos o grandes, que alcanzan  40 m de altura y 120 cm de dap. Tiene fuste recto y cilíndrico; la copa es densa.  No tiene estípulas y la savia es incolor a. Las hojas se distribuyen de forma espiral  y son alternas o subopuestas, simples, glabras. Las flores son verdosas o  amarillentas y el fruto es una baya  elipsoide.  | Sin datos. | La madera es pardo amarillenta con una tonalidad verde  o pardo  negruzco, el secado ala airees rápido  o moderado y la madera muestra solo  defectos menores. Es utilizada para ebanistería, carpintería general, muebles y  objetos torneados.
Nectandra hihua (Ruiz & Pav.) Rohwer .   | jigua   | Lauraceae   |  Distribuida desde México por todo América Central y hasta Perú y  Paraguay en América del Sur. también se encuentra en las Antillas,  concretamente en Rep. Dominicana y Puerto Rico.   | Especie heliófita de los bosques hú medos de zonas  bajas y premontanas de ambas vertientes. Se le encuentra asociado con especies  como Dalbergia tucurensis, Cedrela odorata o Enterolobium cyclocarpum entre  otras.  Árbol mediano a grande, de hasta 30 m de altura y 1 m de DAP. La copa  amplia le  permite una fácil diseminación de la semilla, mostrando buena  regeneración en aquellos escasos sitios donde se encuentra. El follaje es denso y  las ramas y hojas están orientadas hacia abajo. Hojas simples, alternas, elípticas,  de margen entero y de 5 -30 cm de largo. Flores blancas o verdosas, aromáticas,  en racimos abundantes de 8 -15 cm de largo. Fruto ovoide y morado cuando  maduro, de 1.5 cm de largo, y que contiene una semilla color café de 4 mm de  diámetro. Se distingue porque al hacer un corte en la c orteza huele a aguacate  maduro.   |  Florece durante unos dos meses, durante el periodo  de enero a junio.  El fruto madura en agosto  y septiembre principalmente, recogiéndose  de  septiembre a octubre.   |  La madera s eca rápido al aire libre,  necesita por lo menos tres  semanas al sol, formando hendiduras en los extremos.  En ensayos con fines de  obtener madera de aserrío se ha probado a espaciamientos de 3x3 m. Plantada  para reforestación en claros, se seleccionan las especies valiosas ya exist entes  que se van a respetar y el espaciamiento se puede ampliar hasta 6x6 m,  dependiendo del sitio y la mezcla de especies usada.
Ocotea mollifolia Mez & Pittier ex Mez   | Sin datos.  | Lauraceae   |  Bosque húmedo, muy húmedo y pluvial. De Costa Rica a Panamá y Ecuador. En Costa Rica, 10 -1400 m; Vertiente Caribe, Llanuras de  Los Guatusos, San Carlos y Tortuguero, Baja Talamanca; Vertiente Pacífica, Cordillera de Talamanca (Fila Anguciana, Puntare nas), Península de Osa.   | Árbol, de 6 -18 m. Hojas simples, alternas, de 7.5 -35 ×  2-14 cm, oblongas, elíptico -obovadas u obovadas. Inflorescencias de 4 -27 cm.  Flores bisexuales o unisexuales; perianto de 6 partes en 2 verticilos; es tambres  fértiles 9 en 3 verticilos, anteras con 4 válvulas, los 3 internos (serie III) con 2  glándulas en la base; estaminodios ausentes o muy pobremente desarrollados;  pistilo glabro, rara vez puberulento, estilo esbelto, estigma simple, discoide o  capita do, rara vez 2 -3-lobulado. Bayas de 2 -4.5 cm; cúpulas de 0.8 -1.3 cm. Se  reconoce por su indumento de tricomas pardo -rojizos, presentes en las ramitas y  las hojas, éstas con la base de la lámina truncada (nunca decurrente) y los frutos  oblongo -cilíndricos, cuya cúpula generalmente conserva restos del perianto. Es  usual encontrar recolecciones con frutos y flores al mismo tiempo.   |  Flores observadas de Marzo a Setiembre y Diciembre. Frutos  observados en Enero, Febrero y de Junio a Diciembre   |  La planta es hospedera de los lepidopteros Venada daneva, V.  nevada  (Florula, La selva. 2012).
